=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.04.09 15:50:23 =~=~=~=~=~=~=~=~=~=~=~=
Choisissez la methode :
1 - Chronoamperometrie
2 - Voltammetrie cyclique
Methode selectionnee : Voltammetrie cyclique
Entrez E1 (en Volts) :
Entrez E2 (en Volts) :
Entrez la vitesse de balayage (en V/s) :
Entrez le nombre de cycles :
Parametres enregistres.
E1 = -1.00 V, E2 = 1.00 V, Vitesse = 0.10 V/s
Cycles = 3.00
Entrez le facteur d'affichage (valeur par défaut = 1, valeur utilisée pour les mesures = 4) :
Facteur d'affichage choisi : 4
Entrez 'ok' pour commencer l'expérience.
Debut
Temps (s);tension (mV);courant (uA)
0.0782;1000.00;44.39
0.1564;992.18;44.00
0.2346;984.36;43.61
0.3128;976.54;42.83
0.3910;968.72;41.66
0.4692;960.90;41.27
0.5474;953.08;40.88
0.6256;945.26;40.88
0.7038;937.44;39.71
0.7820;929.62;40.10
0.8602;921.80;38.54
0.9384;913.98;38.93
1.0166;906.16;37.37
1.0948;898.34;37.76
1.1730;890.52;36.98
1.2512;882.70;36.98
1.3294;874.88;36.20
1.4076;867.06;36.59
1.4858;859.24;30.74
1.5640;851.42;35.42
1.6422;843.60;35.42
1.7204;835.78;34.64
1.7986;827.96;34.25
1.8768;820.14;33.86
1.9550;812.32;33.08
2.0332;804.50;33.47
2.1114;796.68;31.91
2.1896;788.86;31.91
2.2678;781.04;32.30
2.3460;773.22;30.35
2.4242;765.40;31.13
2.5024;757.58;30.74
2.5806;749.76;31.52
2.6588;741.94;30.35
2.7370;734.12;28.79
2.8152;726.30;29.96
2.8934;718.48;29.18
2.9716;710.66;25.67
3.0499;702.84;28.40
3.1281;695.02;28.40
3.2063;687.20;27.62
3.2845;679.38;27.62
3.3627;671.56;23.33
3.4409;663.74;23.33
3.5191;655.92;26.84
3.5973;648.10;26.06
3.6755;640.28;26.06
3.7537;632.46;26.06
3.8319;624.64;24.89
3.9101;616.82;25.28
3.9883;609.00;24.89
4.0665;601.18;25.28
4.1447;593.36;24.11
4.2229;585.54;24.11
4.3011;577.72;20.21
4.3793;569.90;19.82
4.4575;562.08;23.33
4.5357;554.26;22.55
4.6139;546.44;22.55
4.6921;538.62;22.55
4.7703;530.80;21.77
4.8485;522.98;17.09
4.9267;515.16;21.77
5.0049;507.34;22.16
5.0831;499.52;19.43
5.1613;491.70;21.38
5.2395;483.88;20.99
5.3177;476.06;20.21
5.3959;468.24;19.82
5.4741;460.42;16.31
5.5523;452.60;19.04
5.6305;444.78;16.70
5.7087;436.96;19.04
5.7869;429.13;15.53
5.8651;421.31;19.43
5.9433;413.49;18.65
6.0215;405.67;15.14
6.0997;397.85;18.65
6.1779;390.03;19.43
6.2561;382.21;18.65
6.3343;374.39;14.75
6.4125;366.57;19.04
6.4907;358.75;17.48
6.5689;350.93;13.97
6.6471;343.11;16.70
6.7253;335.29;14.75
6.8035;327.47;17.87
6.8817;319.65;17.48
6.9599;311.83;17.09
7.0381;304.01;17.48
7.1163;296.19;15.92
7.1945;288.37;13.19
7.2727;280.55;17.48
7.3509;272.73;17.09
7.4291;264.91;16.70
7.5073;257.09;17.48
7.5855;249.27;12.80
7.6637;241.45;15.14
7.7419;233.63;16.31
7.8201;225.81;12.02
7.8983;217.99;16.31
7.9765;210.17;12.41
8.0547;202.35;17.09
8.1329;194.53;11.63
8.2111;186.71;13.97
8.2893;178.89;15.92
8.3675;171.07;12.02
8.4457;163.25;15.53
8.5239;155.43;11.63
8.6021;147.61;12.41
8.6803;139.79;15.14
8.7585;131.97;11.63
8.8367;124.15;14.36
8.9149;116.33;13.58
8.9931;108.51;10.85
9.0714;100.69;16.70
9.1496;92.87;14.36
9.2278;85.05;13.58
9.3060;77.23;11.24
9.3842;69.41;13.58
9.4624;61.59;15.14
9.5406;53.77;10.85
9.6188;45.95;13.97
9.6970;38.13;10.46
9.7752;30.31;14.75
9.8534;22.49;13.97
9.9316;14.67;15.14
10.0098;6.85;13.58
10.0880;-0.97;9.29
10.1662;-8.79;10.46
10.2444;-16.61;10.85
10.3226;-24.43;13.97
10.4008;-32.25;13.97
10.4790;-40.07;11.63
10.5572;-47.89;10.85
10.6354;-55.71;13.58
10.7136;-63.53;13.58
10.7918;-71.35;10.85
10.8700;-79.17;14.36
10.9482;-86.99;13.58
11.0264;-94.81;12.41
11.1046;-102.63;12.80
11.1828;-110.45;10.85
11.2610;-118.27;13.19
11.3392;-126.09;11.24
11.4174;-133.91;11.24
11.4956;-141.74;13.58
11.5738;-149.56;13.58
11.6520;-157.38;11.63
11.7302;-165.20;10.46
11.8084;-173.02;15.14
11.8866;-180.84;13.97
11.9648;-188.66;13.58
12.0430;-196.48;10.07
12.1212;-204.30;11.24
12.1994;-212.12;9.68
12.2776;-219.94;10.07
12.3558;-227.76;13.97
12.4340;-235.58;10.07
12.5122;-243.40;9.68
12.5904;-251.22;9.29
12.6686;-259.04;10.07
12.7468;-266.86;7.73
12.8250;-274.68;8.12
12.9032;-282.50;8.51
12.9814;-290.32;7.73
13.0596;-298.14;5.78
13.1378;-305.96;5.39
13.2160;-313.78;5.00
13.2942;-321.60;6.95
13.3724;-329.42;2.66
13.4506;-337.24;-2.41
13.5288;-345.06;-0.07
13.6070;-352.88;1.88
13.6852;-360.70;0.32
13.7634;-368.52;-1.24
13.8416;-376.34;-3.97
13.9198;-384.16;-8.65
13.9980;-391.98;-8.26
14.0762;-399.80;-14.89
14.1544;-407.62;-18.01
14.2326;-415.44;-21.52
14.3108;-423.26;-22.69
14.3890;-431.08;-29.71
14.4672;-438.90;-30.49
14.5454;-446.72;-38.68
14.6236;-454.54;-40.63
14.7018;-462.36;-42.97
14.7800;-470.18;-51.94
14.8582;-478.00;-56.23
14.9364;-485.82;-65.98
15.0146;-493.64;-73.00
15.0929;-501.46;-77.29
15.1711;-509.28;-89.38
15.2493;-517.10;-95.23
15.3275;-524.92;-105.37
15.4057;-532.74;-117.46
15.4839;-540.56;-129.94
15.5621;-548.38;-133.84
15.6403;-556.20;-144.37
15.7185;-564.02;-150.61
15.7967;-571.84;-168.55
15.8749;-579.66;-177.13
15.9531;-587.48;-184.93
16.0313;-595.30;-188.05
16.1095;-603.12;-198.97
16.1877;-610.94;-198.97
16.2659;-618.76;-198.97
16.3441;-626.58;-198.97
16.4223;-634.40;-198.97
16.5005;-642.22;-198.97
16.5787;-650.04;-198.97
16.6569;-657.86;-198.97
16.7351;-665.68;-198.97
16.8133;-673.50;-198.97
16.8915;-681.32;-198.97
16.9697;-689.14;-198.97
17.0479;-696.96;-198.97
17.1261;-704.79;-198.97
17.2043;-712.61;-198.97
17.2825;-720.43;-198.97
17.3607;-728.25;-198.97
17.4389;-736.07;-198.97
17.5171;-743.89;-198.97
17.5953;-751.71;-197.41
17.6735;-759.53;-197.02
17.7517;-767.35;-196.63
17.8299;-775.17;-195.07
17.9081;-782.99;-192.34
17.9863;-790.81;-191.95
18.0645;-798.63;-188.44
18.1427;-806.45;-187.27
18.2209;-814.27;-183.76
18.2991;-822.09;-182.20
18.3773;-829.91;-177.52
18.4555;-837.73;-176.35
18.5337;-845.55;-174.01
18.6119;-853.37;-170.89
18.6901;-861.19;-166.21
18.7683;-869.01;-167.77
18.8465;-876.83;-162.70
18.9247;-884.65;-163.48
19.0029;-892.47;-158.41
19.0811;-900.29;-157.63
19.1593;-908.11;-157.24
19.2375;-915.93;-154.51
19.3157;-923.75;-152.56
19.3939;-931.57;-151.00
19.4721;-939.39;-147.10
19.5503;-947.21;-145.93
19.6285;-955.03;-142.81
19.7067;-962.85;-143.98
19.7849;-970.67;-143.98
19.8631;-978.49;-142.03
19.9413;-986.31;-140.08
20.0195;-994.13;-140.08
20.0977;-988.26;-136.57
20.1759;-980.44;-131.89
20.2541;-972.62;-128.77
20.3323;-964.80;-126.82
20.4105;-956.98;-124.09
20.4887;-949.16;-120.97
20.5669;-941.34;-119.02
20.6451;-933.52;-117.07
20.7233;-925.70;-113.17
20.8015;-917.88;-112.39
20.8797;-910.06;-111.22
20.9579;-902.24;-108.49
21.0361;-894.42;-106.54
21.1144;-886.60;-105.37
21.1926;-878.78;-103.81
21.2708;-870.96;-102.64
21.3490;-863.14;-100.69
21.4272;-855.32;-98.35
21.5054;-847.50;-96.40
21.5836;-839.68;-95.23
21.6618;-831.86;-92.50
21.7400;-824.04;-91.33
21.8182;-816.22;-88.99
21.8964;-808.40;-87.82
21.9746;-800.58;-84.31
22.0528;-792.76;-83.53
22.1310;-784.94;-80.80
22.2092;-777.12;-78.46
22.2874;-769.30;-75.73
22.3656;-761.48;-73.39
22.4438;-753.66;-70.27
22.5220;-745.84;-64.81
22.6002;-738.02;-64.42
22.6784;-730.20;-59.74
22.7566;-722.38;-57.79
22.8348;-714.56;-54.28
22.9130;-706.74;-49.21
22.9912;-698.92;-45.31
23.0694;-691.10;-42.97
23.1476;-683.28;-37.90
23.2258;-675.46;-33.22
23.3040;-667.64;-30.10
23.3822;-659.82;-28.93
23.4604;-652.00;-21.52
23.5386;-644.18;-21.13
23.6168;-636.36;-12.55
23.6950;-628.54;-14.50
23.7732;-620.72;-11.38
23.8514;-612.90;-6.70
